;;;;
INSTITUTION;Nom complet;Rôle et Positions;Importance et légitimité;Observations
ANFR;L'Agence nationale des fréquences;Gestion des bandes de fréquences et prospective.;Missions confiées par l'état;http://www.anfr.fr/fileadmin/mediatheque/documents/ANFR/ANFR_Presentation_Brochure.pdf
;;Assignation des fréquences et gestion de sites.;Pouvoir de sanction;
;;Gestion des fréquences pour le compte des affectataires.;;
;;Contrôle.;;
ARCEP;L'Autorité de régulation des communications électroniques et des postes;Régulation des puissances émises en intérieur.;autorité administrative indépendante, fait partie de l'Etat français sans dépendre du gouvernement;http://www.arcep.fr/index.php?id=9272
;;fixer, dans le cadre légal, des obligations générales s'appliquant à tous les opérateurs;;
ORECE/BERC;Office de l’Organe des régulateurs européens des communications électroniques;renforcer la coopération entre les régulateurs des États européens et les institutions européennes;Instance européenne créée par le Conseil de l'union européenne & le parlement européen, au sein du Paquet Telecoms;
;;Protection des consommateurs des telecoms comme priorité;;
;;garantir que la législation européenne est appliquée de manière uniforme, afin de permettre à l'UE de disposer d'un marché unique des communications électroniques efficace;;
ANSES;Agence Nationale Sécurité Sanitaire Alimentaire Nationale ;réaliser un bilan sur le statut réglementaire national et international de la technologie sans fil;;
;; réaliser une revue scientifique des études disponibles sur les risques sanitaires éventuels liés à l'utilisation des émissions radio;;
;; réaliser une évaluation du risque sanitaire globale, vis-à-vis de la population générale.;;
Parlement;Pouvoir législatif français: Sénat et Assemblée Nationale;Décret no 2002-775 du 3 mai 2002 qui impose un niveau global maximum d’exposition du public aux champs électromagnétiques;pouvoir de discuter et de voter les lois.;
;;Décret no 2010-1207 du 12 octobre 2010 relatif à l’affichage du débit d’absorption spécifique des équipements terminaux radioélectriques;;
;;Loi n° 2015-136 du 9 février 2015 relative à la sobriété, à la transparence, à l’information et à la concertation en matière d’exposition aux ondes électromagnétiques.;;
;;"La création d’un comité de dialogue à l’Agence nationale des fréquences (ANFR) relatif aux niveaux d’exposition aux ondes ;";;
LPE;Le parti écologiste;Proposition de lois contraignantes pour encadrer l'exposition aux ondes électromagnétiques;Parti politique français,  défendant l'environnement et l'écologie;
;;Principe de précaution, compromis avec le Parti socialiste sur la Loi n° 2015-136 du 9 février 2015 relative à la sobriété, à la transparence, à l’information et à la concertation en matière d’exposition aux ondes électromagnétiques.;;
SECE;Secrétariat d'Etat chargé de l'écologie; TABLE RONDE « RADIOFREQUENCES, SANTE, ENVIRONNEMENT »;Tire sa légitimité de son appartenance au gouvernement.;http://www.radiofrequences.gouv.fr/IMG/pdf/Dix_orientations_Gouvernement_RF.pdf
;;Pousser le gouvernement à retenir certaines orientations pour répondre aux inquiétudes de la population concernant la téléphonie mobile, les antennes, etc.;;
;;Informer les élus locaux, suivi des seuils d'exposition, contrôle en collaboration avec l'ANFR…;;
;;Financement de la recherche rénovée sur les dangers de l'exposition aux ondes électromagnétiques.;;
ICNIRP;la Commission internationale sur la radioprotection non ionisante;fournit des conseils sur les risques sanitaires de l'exposition de la radiation non ionisante.;;
;;Développe les directives internationales sur des limites d'exposition aux rayonnements non ionisants.;"une organisation non gouvernementale qui est référencée dans le rayonnement non
ionisant pour l'Organisation Mondiale de la Santé, l'Organisation internationale du travail et la
Commission de l'Union Européenne.";http://www.icnirp.org/
